IDCC;Operateur de competences;Libelle;obs
2147;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective des entreprises des services d'eau et d'assainissement (entreprises en gerance, en concession ou en affermage assurent l'exploitation, le service, le pompage, le traitement et la distribution d'eau e usage public, particulier, domestique, agricole);
2148;AFDAS;Convention collective nationale des telecommunications;
2149;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des activites du dechet;
2150;OPCO Cohesion sociale;Convention collective nationale des personnels des societes anonymes et fondations d'HLM;
2156;OPCO Commerce;Convention collective nationale des grands magasins et des magasins populaires;
2174;OPCO Mobilite;Convention collective nationale du personnel sedentaire des entreprises de transports de marchandises de la navigation interieure;
2190;OPCO Cohesion sociale;Convention collective nationale des missions locales et PAIO des maisons de l'emploi et PLIE;
2198;OPCO Commerce;Convention collective nationale des entreprises de vente e distance;
2205;OPCO entreprises de proximite;Convention collective du notariat;
2216;OPCO Commerce;Convention collective nationale du commerce de detail et de gros e predominance alimentaire (entrepets d'alimentation, superettes, supermarches, hypermarches, grande distribution);
2219;OPCO entreprises de proximite;Convention collective des taxis - 4932Z;
2230;OPCO ATLAS;Convention collective des associations agreees de surveillance de la qualite de l'air ;Arrete du 9 mai 2019 (JO du 1er juin 2019)
2247;OPCO ATLAS;Convention collective des entreprises de courtage d'assurances et/ou de reassurances;
2257;AFDAS;Convention collective nationale des casinos;
2264;OPCO Sante;Convention collective de l'hospitalisation privee (CCU, FHP, etablissements pour personnes egees, maison de retraite, etablissements de suite et readaptation, medicaux pour enfants et adolescents, UHP, sanitaires sociaux et medico-sociaux CRRR, hospitalisation prive e but lucratif FIEHP);
2272;OPCO entreprises de proximite;Convention collective nationale de l'assainissement et de la maintenance industrielle;
2329;OPCO entreprises de proximite;Accord professionnel national de travail entre les avocats au Conseil d'Etat et e la Cour de Cassation et leur personnel salarie -non avocat-;
2332;OPCO entreprises de proximite;Convention nationale des entreprises d'architecture;
2335;OPCO ATLAS;Convention collective nationale du personnel des agences generales d'assurances;
2336;OPCO Cohesion sociale;Convention collective nationale des organismes gestionnaires de foyers et services pour jeunes travailleurs;
2357;OPCO ATLAS;Accord du 3 mars 1993 relatif aux cadres de direction des societes d'assurances;
2372;AFDAS;Convention collective nationale des entreprises de la distribution directe;
2378;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Accords nationaux professionnels concernant le personnel interimaire des entreprises de travail temporaire;
2395;OPCO entreprises de proximite;Convention collective nationale de travail des assistants maternels du particulier employeur;
2397;AFDAS;Convention collective des mannequins adultes et des mannequins enfants de moins de seize ans employes par les agences de mannequins;
2408;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des personnels des services administratifs et economiques, personnels d'education et documentalistes des etablissement d'enseignement prives;
2411;AFDAS;Convention collective nationale des chaenes thematiques;
2412;AFDAS;Convention collective de la production de films d'animation;
2420;OPCO Construction;Convention collective nationale des cadres du betiment du 1er juin 2004;
2494;OCAPIAT;Convention collective nationale de la cooperation maritime;
2511;AFDAS;Convention collective nationale du sport;
2526;OPCO Cohesion sociale;Convention collective nationale des organisations professionnelles de l'habitat social;
2528;OPCO 2i;Convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir;
